Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min
76,0.0,0.0,1474.0,76.0,28.0,1474.0,0.10000000000000002,26.583735602308888,26.583735602308888,0.0,,,,,,,,,,,,,,,,12.196830731134055,7.204225566656871,23.402649492516517,0.6039316712177203,,,,,,,,,,,,,,,,,,,,,,,,
77,0.0,0.0,1483.0,77.0,9.0,1483.0,0.10000000000000002,7.154944714663047,7.154944714663047,0.0,,,,,,,,,,,,,,,,3.8216659025948214,1.930049839900691,6.879792710534861,0.7650470751916608,,,,,,,,,,,,,,,,,,,,,,,,
78,0.0,0.0,1494.0,78.0,11.0,1494.0,0.10000000000000002,9.139212948339543,9.139212948339543,0.0,,,,,,,,,,,,,,,,4.459785755967159,2.558256164733666,8.735996479982983,0.7134680804207887,,,,,,,,,,,,,,,,,,,,,,,,
79,0.0,0.0,1516.0,79.0,22.0,1516.0,0.10000000000000002,9.639015316778638,9.639015316778638,0.0,,,,,,,,,,,,,,,,2.901284427640723,2.7701505289460377,9.09164923504816,0.1140531880062782,,,,,,,,,,,,,,,,,,,,,,,,
80,0.0,0.0,1527.0,80.0,11.0,1527.0,0.10000000000000002,8.582934267325403,8.582934267325403,0.0,,,,,,,,,,,,,,,,4.1911235042499095,2.4135839801989483,8.203950183694861,0.5583940615213644,,,,,,,,,,,,,,,,,,,,,,,,
81,0.0,0.0,1550.0,81.0,23.0,1550.0,0.10000000000000002,23.15552803336942,23.15552803336942,0.0,,,,,,,,,,,,,,,,10.663405444761684,6.266793279059661,20.91206543542852,0.9385432350247718,,,,,,,,,,,,,,,,,,,,,,,,
82,0.0,0.0,1571.0,82.0,21.0,1571.0,0.10000000000000002,16.477344202727398,16.477344202727398,0.0,,,,,,,,,,,,,,,,7.248031087603331,4.455482999122594,15.10632088316232,0.6415326765792703,,,,,,,,,,,,,,,,,,,,,,,,
83,0.0,0.0,1594.0,83.0,23.0,1594.0,0.10000000000000002,25.42554822275109,25.42554822275109,0.0,,,,,,,,,,,,,,,,12.821175454627692,6.479634593012617,22.70371501837041,1.2240009877546822,,,,,,,,,,,,,,,,,,,,,,,,
84,0.0,0.0,1605.0,84.0,11.0,1605.0,0.10000000000000002,8.527956030774066,8.527956030774066,0.0,,,,,,,,,,,,,,,,4.184898649192372,2.4151561332426126,8.149108261982732,0.6218242791860368,,,,,,,,,,,,,,,,,,,,,,,,
85,0.0,0.0,1641.0,85.0,36.0,1641.0,0.10000000000000002,42.308734156625974,42.308734156625974,0.0,,,,,,,,,,,,,,,,19.7149718371295,11.032328921283801,35.56701443965591,0.6923353272747566,,,,,,,,,,,,,,,,,,,,,,,,
86,0.0,0.0,1662.0,86.0,21.0,1662.0,0.10000000000000002,10.209107618853498,10.209107618853498,0.0,,,,,,,,,,,,,,,,3.2331905348519494,3.0674727255550023,9.626401622762213,-0.04821775893497827,,,,,,,,,,,,,,,,,,,,,,,,
87,0.0,0.0,1673.0,87.0,11.0,1673.0,0.10000000000000002,8.846826881651634,8.846826881651634,0.0,,,,,,,,,,,,,,,,4.232988277798412,2.5139834060225983,8.465856738478593,0.4807029744535545,,,,,,,,,,,,,,,,,,,,,,,,
88,0.0,0.0,1704.0,88.0,31.0,1704.0,0.10000000000000002,17.887125492044227,17.887125492044227,0.0,,,,,,,,,,,,,,,,5.916373063815563,5.327441641947571,16.2152018608701,0.16727407556878074,,,,,,,,,,,,,,,,,,,,,,,,
89,0.0,0.0,1723.0,89.0,19.0,1723.0,0.10000000000000002,12.10795458888621,12.10795458888621,0.0,,,,,,,,,,,,,,,,5.185138182460292,3.0351894435911184,11.23512963052399,0.7060491632391569,,,,,,,,,,,,,,,,,,,,,,,,
90,0.0,0.0,1743.0,90.0,20.0,1743.0,0.10000000000000002,12.574009468439865,12.574009468439865,0.0,,,,,,,,,,,,,,,,4.753522515523256,3.6883628215076594,11.740712086197181,0.311019526166259,,,,,,,,,,,,,,,,,,,,,,,,
91,0.0,0.0,1770.0,91.0,27.0,1770.0,0.10000000000000002,20.28043913247209,20.28043913247209,0.0,,,,,,,,,,,,,,,,8.33456179858885,5.788110499963938,18.212229744296057,0.12505768477362472,,,,,,,,,,,,,,,,,,,,,,,,
