Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Q/Mean,Q/Stdev,Q/Max,Q/Min,Q Values/Mean,Q Values/Stdev,Q Values/Max,Q Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min
83,344.0,0.0,24.0,1.0,24.0,2698.0,0.4836339999999929,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.06298729,0.008402422,0.07897756,0.051788386,0.0005581195,0.00019548462,0.0008878372999999999,0.00038288443
84,349.0,0.0,24.0,1.0,24.0,2722.0,0.4833987999999928,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.06475940000000001,0.008129972,0.078203276,0.050975204,0.0005767367,0.00018993625,0.0008832087599999999,0.00039101817
85,367.0,0.0,89.0,1.0,89.0,2811.0,0.4825265999999924,2.0,2.0,0.0,,,,,,,,,,,,,,,,0.8403842886307117,0.5485708343259555,1.6757290490602832,0.0,,,,,,,,,0.08009292,0.028361686,0.16432662,0.047092173,0.08185624,0.22422616,0.80038375,8.3800995e-05
86,372.0,0.0,24.0,1.0,24.0,2835.0,0.4822913999999923,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.11119981,0.032580595,0.16728485,0.061624844000000005,0.0027332976,0.0007721542,0.003996538,0.0020471345999999997
87,377.0,0.0,24.0,1.0,24.0,2859.0,0.4820561999999922,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.10850571,0.020781895,0.13558571,0.07375315,0.0014359999,0.0006661611999999999,0.002587263,0.0010062276
88,382.0,0.0,24.0,1.0,24.0,2883.0,0.4818209999999921,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.100853115,0.013681875,0.12449139,0.07798881,0.0006866358500000001,0.00028172985,0.00091991207,0.00021548597999999997
89,387.0,0.0,24.0,1.0,24.0,2907.0,0.481585799999992,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.08615003,0.009291072,0.09975654,0.070607655,0.00012568427,9.4498966e-05,0.00022893027999999998,2.9971534000000002e-05
90,398.0,0.0,52.0,1.0,52.0,2959.0,0.4810761999999918,1.0,1.0,0.0,,,,,,,,,,,,,,,,0.5148012122030814,0.42792094166684,1.0,0.0,,,,,,,,,0.07639985,0.010155001,0.10158039,0.054348037,0.01999113,0.059377473,0.19812326,1.5929112e-05
91,409.0,0.0,54.0,1.0,54.0,3013.0,0.4805469999999916,1.0,1.0,0.0,,,,,,,,,,,,,,,,0.5092956741521227,0.4267174441531693,1.0,0.0,,,,,,,,,0.07719005,0.019874258,0.10860287,0.04651986,0.041412365,0.12281446,0.40985548,0.00021220257999999997
92,414.0,0.0,24.0,1.0,24.0,3037.0,0.4803117999999914,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.0778645,0.017768934,0.10060765599999999,0.046859063,0.00016889169999999997,0.00012534103999999998,0.0003857597,8.835471e-05
